	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
45	MDTB	ses-s2	sub-30	fs32k	CondHalf	sub-30	0.9722450580870653	2.007972063470143e-17	4.799076644601494e-17	85	85
46	MDTB	ses-s1	sub-31	fs32k	CondHalf	sub-31	0.9984041859161255	3.4211507442846786e-17	6.374084348420409e-17	409	409
47	MDTB	ses-s2	sub-31	fs32k	CondHalf	sub-31	0.9596647226948088	1.7632198211530166e-17	1.6147267223739836e-16	364	364
48	WMFS	ses-01	sub-01	fs32k	CondHalf	sub-01	1.0	0.21619212998467238	0.21619212998467238	159	159
49	WMFS	ses-02	sub-01	fs32k	CondHalf	sub-01	0.9999999999999999	0.3538254171468584	0.3538254171468587	99	99
50	WMFS	ses-01	sub-02	fs32k	CondHalf	sub-02	1.0	0.315309884745153	0.31530988474515315	83	83
51	WMFS	ses-02	sub-02	fs32k	CondHalf	sub-02	1.0	0.23282682976325383	0.23282682976325395	151	151
52	WMFS	ses-01	sub-03	fs32k	CondHalf	sub-03	1.0	0.1345172190140928	0.1345172190140928	155	155
53	WMFS	ses-02	sub-03	fs32k	CondHalf	sub-03	1.0	0.22228758883599528	0.22228758883599536	140	140
54	WMFS	ses-01	sub-04	fs32k	CondHalf	sub-04	1.0	0.2652272597496236	0.2652272597496237	75	75
55	WMFS	ses-02	sub-04	fs32k	CondHalf	sub-04	0.9999999999999999	0.28139401517890184	0.28139401517890206	107	107
56	WMFS	ses-01	sub-05	fs32k	CondHalf	sub-05	1.0	0.156922002286484	0.15692200228648376	80	80
57	WMFS	ses-02	sub-05	fs32k	CondHalf	sub-05	0.9999999999999997	0.3112340314056818	0.3112340314056817	103	103
58	WMFS	ses-01	sub-06	fs32k	CondHalf	sub-06	1.0	0.19170210004783372	0.19170210004783375	51	51
59	WMFS	ses-02	sub-06	fs32k	CondHalf	sub-06	1.0	0.3298401921016622	0.3298401921016623	35	35
60	WMFS	ses-01	sub-07	fs32k	CondHalf	sub-07	1.0	0.23899605489712036	0.23899605489712034	161	161
61	WMFS	ses-02	sub-07	fs32k	CondHalf	sub-07	0.9999999999999999	0.3254145623231084	0.3254145623231086	154	154
62	WMFS	ses-01	sub-08	fs32k	CondHalf	sub-08	0.9999999999999999	0.21523570091964386	0.21523570091964384	68	68
63	WMFS	ses-02	sub-08	fs32k	CondHalf	sub-08	1.0	0.29777693786459475	0.2977769378645948	118	118
64	WMFS	ses-01	sub-09	fs32k	CondHalf	sub-09	0.9999999999999997	0.17097140616880643	0.1709714061688065	200	200
65	WMFS	ses-02	sub-09	fs32k	CondHalf	sub-09	1.0	0.2640050635787578	0.2640050635787579	376	376
66	WMFS	ses-01	sub-10	fs32k	CondHalf	sub-10	1.0	0.1740281043213856	0.17402810432138563	103	103
67	WMFS	ses-02	sub-10	fs32k	CondHalf	sub-10	1.0	0.25375415261379064	0.2537541526137907	108	108
68	WMFS	ses-01	sub-11	fs32k	CondHalf	sub-11	0.9999999999999998	0.2356907638443183	0.23569076384431842	36	36
69	WMFS	ses-02	sub-11	fs32k	CondHalf	sub-11	0.9999999999999999	0.3562175323039451	0.35621753230394526	33	33
70	WMFS	ses-01	sub-12	fs32k	CondHalf	sub-12	0.9999999999999998	0.2454931047427436	0.24549310474274338	376	376
71	WMFS	ses-02	sub-12	fs32k	CondHalf	sub-12	1.0	0.259960369081709	0.2599603690817089	426	426
72	WMFS	ses-01	sub-13	fs32k	CondHalf	sub-13	1.0	0.20986374830900364	0.2098637483090036	97	97
73	WMFS	ses-02	sub-13	fs32k	CondHalf	sub-13	1.0	0.30517068587366414	0.3051706858736641	82	82
74	WMFS	ses-01	sub-14	fs32k	CondHalf	sub-14	1.0	0.21137998513348316	0.2113799851334832	13	13
75	WMFS	ses-02	sub-14	fs32k	CondHalf	sub-14	1.0	0.3425540919109826	0.34255409191098307	234	234
76	WMFS	ses-01	sub-15	fs32k	CondHalf	sub-15	0.9999999999999999	0.30926004664798246	0.3092600466479822	83	83
77	WMFS	ses-02	sub-15	fs32k	CondHalf	sub-15	0.9999999999999998	0.37187002443456535	0.3718700244345652	94	94
78	WMFS	ses-01	sub-16	fs32k	CondHalf	sub-16	0.9999999999999998	0.21198220011267108	0.21198220011267124	66	66
79	WMFS	ses-02	sub-16	fs32k	CondHalf	sub-16	0.9999999999999998	0.25764682019255664	0.25764682019255686	72	72
80	IBC	ses-archi	sub-01	fs32k	CondHalf	sub-01	1.0	0.1328065810184119	0.1328065810184119	2	2
81	IBC	ses-clips4	sub-01	fs32k	CondHalf	sub-01	0.9999999999999999	0.16456781929216155	0.16456781929216158	1	1
