sequence	scope	subject	step	status	elapsed_seconds	start_rss_mib	end_rss_mib	peak_rss_mib	peak_increase_mib	error
1	setup		initialize_dataset	ok	0.027020692825317383	128.44140625	129.42578125	129.42578125	0.984375	
2	setup		load_network_and_atlas	ok	0.04928500019013882	129.42578125	131.38671875	131.38671875	1.9609375	
3	subject_step	112516	load_subject_data	ok	2.5086536183953285	131.59765625	687.9296875	2444.84375	2313.24609375	
4	subject_step	112516	build_network_timecourse	ok	0.7187626119703054	687.9296875	707.25390625	710.06640625	22.13671875	
5	subject_step	112516	connectivity_fingerprint	ok	5.845718851312995	707.25390625	928.6953125	1681.7578125	974.50390625	
6	subject_step	112516	build_output_metadata	ok	0.05016174912452698	928.6953125	928.6953125	928.6953125	0.0	
7	subject_step	112516	create_cifti	ok	1.3397704251110554	928.6953125	946.7578125	946.7578125	18.0625	
8	subject_step	112516	save_cifti	ok	2.210814280435443	946.7578125	946.82421875	946.82421875	0.06640625	
9	subject	112516	subject_total	ok	12.884243858978152	131.59765625	946.82421875	2444.84375	2313.24609375	
10	subject_step	112920	load_subject_data	ok	2.4720246493816376	946.82421875	947.8203125	3218.38671875	2271.5625	
11	subject_step	112920	build_network_timecourse	ok	0.8104953318834305	947.8203125	982.0546875	982.0546875	34.234375	
12	subject_step	112920	connectivity_fingerprint	ok	5.698544830083847	982.0546875	1072.12109375	1825.18359375	843.12890625	
13	subject_step	112920	build_output_metadata	ok	0.048545120283961296	1072.12109375	1072.12109375	1072.12109375	0.0	
14	subject_step	112920	create_cifti	ok	1.3437827844172716	1072.12109375	950.828125	1072.12109375	0.0	
15	subject_step	112920	save_cifti	ok	2.099842106923461	950.828125	950.84375	950.84375	0.015625	
16	subject	112920	subject_total	ok	12.794973088428378	946.82421875	950.84375	3218.38671875	2271.5625	
17	subject_step	113215	load_subject_data	ok	2.3958856482058764	950.84375	950.84375	3225.80078125	2274.95703125	
18	subject_step	113215	build_network_timecourse	ok	0.7148438319563866	950.84375	984.20703125	984.20703125	33.36328125	
19	subject_step	113215	connectivity_fingerprint	ok	5.62313205935061	984.20703125	1073.91796875	1827.13671875	842.9296875	
20	subject_step	113215	build_output_metadata	ok	0.04259718768298626	1073.91796875	1073.91796875	1073.91796875	0.0	
21	subject_step	113215	create_cifti	ok	1.418666047975421	1073.91796875	950.68359375	1073.91796875	0.0	
22	subject_step	113215	save_cifti	ok	2.3330255411565304	950.68359375	950.68359375	950.68359375	0.0	
23	subject	113215	subject_total	ok	12.818727757781744	950.84375	950.68359375	3225.80078125	2274.95703125	
24	subject_step	113619	load_subject_data	ok	2.4373692870140076	950.68359375	950.68359375	3220.7421875	2270.05859375	
25	subject_step	113619	build_network_timecourse	ok	0.7308519072830677	950.68359375	984.09765625	984.09765625	33.4140625	
26	subject_step	113619	connectivity_fingerprint	ok	5.618252694606781	984.09765625	1074.390625	1836.171875	852.07421875	
27	subject_step	113619	build_output_metadata	ok	0.05556905269622803	1074.390625	1074.390625	1074.390625	0.0	
28	subject_step	113619	create_cifti	ok	1.338892973959446	1074.390625	951.1484375	1074.390625	0.0	
29	subject_step	113619	save_cifti	ok	2.1040253322571516	951.1484375	951.1484375	951.1484375	0.0	
30	subject	113619	subject_total	ok	12.535209581255913	950.68359375	951.1484375	3220.7421875	2270.05859375	
31	subject_step	113922	load_subject_data	ok	2.305375723168254	951.1484375	951.1484375	3221.734375	2270.5859375	
32	subject_step	113922	build_network_timecourse	ok	0.6887736078351736	951.1484375	984.515625	984.515625	33.3671875	
33	subject_step	113922	connectivity_fingerprint	ok	5.7313725762069225	984.515625	1074.49609375	1827.71484375	843.19921875	
34	subject_step	113922	build_output_metadata	ok	0.021552003920078278	1074.49609375	1074.49609375	1074.49609375	0.0	
35	subject_step	113922	create_cifti	ok	1.3978494070470333	1074.49609375	951.25390625	1074.49609375	0.0	
36	subject_step	113922	save_cifti	ok	2.1335344277322292	951.25390625	951.25390625	951.25390625	0.0	
37	subject	113922	subject_total	ok	12.537512989714742	951.1484375	951.25390625	3221.734375	2270.5859375	
38	subject_step	114217	load_subject_data	ok	2.3779722433537245	951.25390625	951.25390625	3127.22265625	2175.96875	
39	subject_step	114217	build_network_timecourse	ok	0.701579699292779	951.25390625	984.66796875	984.66796875	33.4140625	
40	subject_step	114217	connectivity_fingerprint	ok	5.772258276119828	984.66796875	1074.84765625	1830.95703125	846.2890625	
41	subject_step	114217	build_output_metadata	ok	0.027922373265028	1074.84765625	1074.84765625	1074.84765625	0.0	
42	subject_step	114217	create_cifti	ok	1.3468882143497467	1074.84765625	951.84375	1074.84765625	0.0	
43	subject_step	114217	save_cifti	ok	2.0964381024241447	951.84375	951.84375	951.84375	0.0	
44	subject	114217	subject_total	ok	12.58524253219366	951.25390625	951.84375	3127.22265625	2175.96875	
45	subject_step	114318	load_subject_data	ok	2.389107447117567	951.84375	951.84375	3129.875	2178.03125	
46	subject_step	114318	build_network_timecourse	ok	0.7003485914319754	951.84375	985.48828125	985.48828125	33.64453125	
47	subject_step	114318	connectivity_fingerprint	ok	5.34621412307024	985.48828125	1074.7734375	1827.8359375	842.34765625	
48	subject_step	114318	build_output_metadata	ok	0.0192587710916996	1074.7734375	1074.7734375	1074.7734375	0.0	
49	subject_step	114318	create_cifti	ok	1.3367096111178398	1074.7734375	951.53125	1074.7734375	0.0	
50	subject_step	114318	save_cifti	ok	2.142089281231165	951.53125	951.53515625	951.53515625	0.00390625	
51	subject	114318	subject_total	ok	12.182056654244661	951.84375	951.53515625	3129.875	2178.03125	
52	subject_step	114419	load_subject_data	ok	2.359555082395673	951.53515625	951.53515625	3138.06640625	2186.53125	
53	subject_step	114419	build_network_timecourse	ok	0.6929441764950752	951.53515625	984.82421875	984.82421875	33.2890625	
54	subject_step	114419	connectivity_fingerprint	ok	5.6432624366134405	984.82421875	1074.95703125	1828.01953125	843.1953125	
55	subject_step	114419	build_output_metadata	ok	0.02086823806166649	1074.95703125	1074.95703125	1074.95703125	0.0	
56	subject_step	114419	create_cifti	ok	1.424131479114294	1074.95703125	952.17578125	1074.95703125	0.0	
57	subject_step	114419	save_cifti	ok	1.9749447368085384	952.17578125	951.9765625	952.17578125	0.0	
58	subject	114419	subject_total	ok	12.397353705018759	951.53515625	951.9765625	3138.06640625	2186.53125	
59	subject_step	114621	load_subject_data	ok	2.460284288972616	951.9765625	952.1796875	3268.00390625	2316.02734375	
60	subject_step	114621	build_network_timecourse	ok	0.7486980278044939	952.1796875	985.3359375	985.3359375	33.15625	
61	subject_step	114621	connectivity_fingerprint	ok	5.6829137317836285	985.3359375	1074.76953125	1827.83203125	842.49609375	
62	subject_step	114621	build_output_metadata	ok	0.02122694067656994	1074.76953125	1074.76953125	1074.76953125	0.0	
63	subject_step	114621	create_cifti	ok	1.3487628269940615	1074.76953125	952.515625	1074.76953125	0.0	
64	subject_step	114621	save_cifti	ok	2.055231248959899	952.515625	952.515625	952.515625	0.0	
65	subject	114621	subject_total	ok	12.640131145715714	951.9765625	952.515625	3268.00390625	2316.02734375	
