sequence	scope	subject	step	status	elapsed_seconds	start_rss_mib	end_rss_mib	peak_rss_mib	peak_increase_mib	error
52	subject_step	114419	load_subject_data	ok	4.932052101939917	919.7421875	919.7421875	3185.4296875	2265.6875	
53	subject_step	114419	build_network_timecourse	ok	0.769272968173027	919.7421875	952.57421875	952.57421875	32.83203125	
54	subject_step	114419	connectivity_fingerprint	ok	5.4959555342793465	952.57421875	1042.3828125	1826.078125	873.50390625	
55	subject_step	114419	build_output_metadata	ok	0.03695043921470642	1042.3828125	1042.3828125	1042.3828125	0.0	
56	subject_step	114419	create_cifti	ok	1.4369647819548845	1042.3828125	919.14453125	1042.3828125	0.0	
57	subject_step	114419	save_cifti	ok	2.504808133468032	919.14453125	919.14453125	919.14453125	0.0	
58	subject	114419	subject_total	ok	15.53270017541945	919.7421875	919.14453125	3185.4296875	2265.6875	
59	subject_step	114621	load_subject_data	ok	4.671011405065656	919.14453125	919.14453125	3159.82421875	2240.6796875	
60	subject_step	114621	build_network_timecourse	ok	0.8411398511379957	919.14453125	951.09375	951.09375	31.94921875	
61	subject_step	114621	connectivity_fingerprint	ok	5.960698517039418	951.09375	1042.8203125	1802.28125	851.1875	
62	subject_step	114621	build_output_metadata	ok	0.032330580055713654	1042.8203125	1042.8203125	1042.8203125	0.0	
63	subject_step	114621	create_cifti	ok	1.387751892209053	1042.8203125	919.578125	1042.8203125	0.0	
64	subject_step	114621	save_cifti	ok	1.9931196849793196	919.578125	919.578125	919.578125	0.0	
65	subject	114621	subject_total	ok	15.348371898755431	919.14453125	919.578125	3159.82421875	2240.6796875	
66	subject_step	114823	load_subject_data	ok	4.836894240230322	919.578125	919.578125	3213.02734375	2293.44921875	
67	subject_step	114823	build_network_timecourse	ok	0.7757216617465019	919.578125	952.40625	952.40625	32.828125	
68	subject_step	114823	connectivity_fingerprint	ok	5.833365755155683	952.40625	1042.453125	1850.8984375	898.4921875	
69	subject_step	114823	build_output_metadata	ok	0.02145511284470558	1042.453125	1042.453125	1042.453125	0.0	
70	subject_step	114823	create_cifti	ok	1.4244873523712158	1042.453125	919.21484375	1042.453125	0.0	
71	subject_step	114823	save_cifti	ok	2.33961240388453	919.21484375	919.21484375	919.21484375	0.0	
72	subject	114823	subject_total	ok	15.573302440345287	919.578125	919.21484375	3213.02734375	2293.44921875	
73	subject_step	115825	load_subject_data	ok	4.201686933636665	919.21484375	918.234375	3214.34375	2295.12890625	
74	subject_step	115825	build_network_timecourse	ok	0.7158238552510738	918.234375	951.74609375	951.74609375	33.51171875	
75	subject_step	115825	connectivity_fingerprint	ok	5.120950944721699	951.74609375	1041.29296875	1794.35546875	842.609375	
76	subject_step	115825	build_output_metadata	ok	0.024405037984251976	1041.29296875	1041.29296875	1041.29296875	0.0	
77	subject_step	115825	create_cifti	ok	1.3714458160102367	1041.29296875	919.03125	1041.29296875	0.0	
78	subject_step	115825	save_cifti	ok	2.149927217513323	919.03125	918.9375	919.03125	0.0	
79	subject	115825	subject_total	ok	13.858511175960302	919.21484375	918.9375	3214.34375	2295.12890625	
80	subject_step	116726	load_subject_data	ok	4.638128658756614	918.9375	919.03125	3204.828125	2285.890625	
81	subject_step	116726	build_network_timecourse	ok	0.8837710432708263	919.03125	951.51171875	951.51171875	32.48046875	
82	subject_step	116726	connectivity_fingerprint	ok	5.5945781748741865	951.51171875	1042.04296875	1843.26953125	891.7578125	
83	subject_step	116726	build_output_metadata	ok	0.025798814371228218	1042.04296875	1042.04296875	1042.04296875	0.0	
84	subject_step	116726	create_cifti	ok	1.3896958585828543	1042.04296875	918.8046875	1042.04296875	0.0	
85	subject_step	116726	save_cifti	ok	2.017971131950617	918.8046875	918.8046875	918.8046875	0.0	
86	subject	116726	subject_total	ok	14.953568547964096	918.9375	918.8046875	3204.828125	2285.890625	
87	subject_step	117324	load_subject_data	ok	4.7048483565449715	918.8046875	918.8046875	3207.1796875	2288.375	
88	subject_step	117324	build_network_timecourse	ok	0.8979353196918964	918.8046875	952.02734375	952.02734375	33.22265625	
89	subject_step	117324	connectivity_fingerprint	ok	5.536273468285799	952.02734375	1043.44140625	1796.50390625	844.4765625	
90	subject_step	117324	build_output_metadata	ok	0.030412480235099792	1043.44140625	1043.44140625	1043.44140625	0.0	
91	subject_step	117324	create_cifti	ok	1.472630774602294	1043.44140625	921.18359375	1043.44140625	0.0	
92	subject_step	117324	save_cifti	ok	2.0990109089761972	921.18359375	921.18359375	921.18359375	0.0	
93	subject	117324	subject_total	ok	15.12672708183527	918.8046875	921.18359375	3207.1796875	2288.375	
94	subject_step	117930	load_subject_data	ok	4.566276352852583	921.18359375	921.18359375	3201.56640625	2280.3828125	
95	subject_step	117930	build_network_timecourse	ok	0.8763341344892979	921.18359375	953.921875	953.921875	32.73828125	
96	subject_step	117930	connectivity_fingerprint	ok	6.020365366712213	953.921875	1043.328125	1796.390625	842.46875	
97	subject_step	117930	build_output_metadata	ok	0.044357191771268845	1043.328125	1043.328125	1043.328125	0.0	
98	subject_step	117930	create_cifti	ok	1.3759367484599352	1043.328125	920.0859375	1043.328125	0.0	
99	subject_step	117930	save_cifti	ok	2.013446608558297	920.0859375	920.0859375	920.0859375	0.0	
100	subject	117930	subject_total	ok	15.237831104546785	921.18359375	920.0859375	3201.56640625	2280.3828125	
101	subject_step	118023	load_subject_data	ok	4.299922056496143	920.0859375	920.0859375	3112.5546875	2192.46875	
102	subject_step	118023	build_network_timecourse	ok	0.7147387191653252	920.0859375	952.7421875	952.7421875	32.65625	
103	subject_step	118023	connectivity_fingerprint	ok	5.0941719356924295	952.7421875	1042.58203125	1826.53515625	873.79296875	
104	subject_step	118023	build_output_metadata	ok	0.022685423493385315	1042.58203125	1042.58203125	1042.58203125	0.0	
105	subject_step	118023	create_cifti	ok	1.3937402796000242	1042.58203125	919.34375	1042.58203125	0.0	
106	subject_step	118023	save_cifti	ok	1.9330942649394274	919.34375	919.34375	919.34375	0.0	
107	subject	118023	subject_total	ok	13.745392568409443	920.0859375	919.34375	3112.5546875	2192.46875	
108	subject_step	118124	load_subject_data	ok	4.995202178135514	919.34375	919.34375	3146.1015625	2226.7578125	
109	subject_step	118124	build_network_timecourse	ok	0.7107863388955593	919.34375	952.0859375	952.0859375	32.7421875	
110	subject_step	118124	connectivity_fingerprint	ok	5.925332901999354	952.0859375	1042.73046875	1827.45703125	875.37109375	
111	subject_step	118124	build_output_metadata	ok	0.031881172209978104	1042.73046875	1042.73046875	1042.73046875	0.0	
112	subject_step	118124	create_cifti	ok	1.3579287454485893	1042.73046875	919.48828125	1042.73046875	0.0	
113	subject_step	118124	save_cifti	ok	2.21674089692533	919.48828125	919.48828125	919.48828125	0.0	
114	subject	118124	subject_total	ok	15.522509107366204	919.34375	919.48828125	3146.1015625	2226.7578125	
115	subject_step	118225	load_subject_data	ok	4.128705898299813	919.48828125	919.48828125	3091.84765625	2172.359375	
116	subject_step	118225	build_network_timecourse	ok	0.7070223670452833	919.48828125	952.2265625	952.2265625	32.73828125	
117	subject_step	118225	connectivity_fingerprint	ok	5.068619003519416	952.2265625	1043.30078125	1863.86328125	911.63671875	
118	subject_step	118225	build_output_metadata	ok	0.022446032613515854	1043.30078125	1043.30078125	1043.30078125	0.0	
119	subject_step	118225	create_cifti	ok	1.361769687384367	1043.30078125	920.05859375	1043.30078125	0.0	
120	subject_step	118225	save_cifti	ok	1.9838060978800058	920.05859375	920.0546875	920.05859375	0.0	
121	subject	118225	subject_total	ok	13.55531233921647	919.48828125	920.0546875	3091.84765625	2172.359375	
122	subject_step	118528	load_subject_data	ok	4.700409922748804	920.0546875	920.0546875	3222.3515625	2302.296875	
123	subject_step	118528	build_network_timecourse	ok	0.913879381492734	920.0546875	952.79296875	952.79296875	32.73828125	
124	subject_step	118528	connectivity_fingerprint	ok	5.492711199447513	952.79296875	1043.46484375	1832.05859375	879.265625	
125	subject_step	118528	build_output_metadata	ok	0.02256774716079235	1043.46484375	1043.46484375	1043.46484375	0.0	
126	subject_step	118528	create_cifti	ok	1.4112369939684868	1043.46484375	920.21875	1043.46484375	0.0	
127	subject_step	118528	save_cifti	ok	2.0864213462918997	920.21875	920.21875	920.21875	0.0	
128	subject	118528	subject_total	ok	14.928580140694976	920.0546875	920.21875	3222.3515625	2302.296875	
129	subject_step	118730	load_subject_data	ok	4.048200132325292	920.21875	920.22265625	3233.86328125	2313.64453125	
130	subject_step	118730	build_network_timecourse	ok	0.7033029850572348	920.22265625	952.9609375	952.9609375	32.73828125	
131	subject_step	118730	connectivity_fingerprint	ok	5.597141427919269	952.9609375	1042.33984375	1810.05078125	857.08984375	
132	subject_step	118730	build_output_metadata	ok	0.021572884172201157	1042.33984375	1042.33984375	1042.33984375	0.0	
133	subject_step	118730	create_cifti	ok	1.3604149408638477	1042.33984375	919.09765625	1042.33984375	0.0	
134	subject_step	118730	save_cifti	ok	2.0793855767697096	919.09765625	919.09765625	919.09765625	0.0	
135	subject	118730	subject_total	ok	14.074375474825501	920.21875	919.09765625	3233.86328125	2313.64453125	
136	subject_step	118932	load_subject_data	ok	4.943232391029596	919.09765625	919.09765625	3202.57421875	2283.4765625	
137	subject_step	118932	build_network_timecourse	ok	0.8847618512809277	919.09765625	952.04296875	952.04296875	32.9453125	
138	subject_step	118932	connectivity_fingerprint	ok	5.880745653063059	952.04296875	1042.01171875	1811.01171875	858.96875	
139	subject_step	118932	build_output_metadata	ok	0.021976439282298088	1042.01171875	1042.01171875	1042.01171875	0.0	
140	subject_step	118932	create_cifti	ok	1.3711165115237236	1042.01171875	918.76953125	1042.01171875	0.0	
141	subject_step	118932	save_cifti	ok	2.181683214381337	918.76953125	918.7734375	918.7734375	0.00390625	
142	subject	118932	subject_total	ok	15.647912671789527	919.09765625	918.7734375	3202.57421875	2283.4765625	
143	subject_step	119126	load_subject_data	ok	4.139503320679069	918.7734375	918.7734375	3095.7734375	2177.0	
144	subject_step	119126	build_network_timecourse	ok	0.6912188287824392	918.7734375	951.76953125	951.76953125	32.99609375	
145	subject_step	119126	connectivity_fingerprint	ok	5.253955997526646	951.76953125	1049.390625	1824.5703125	872.80078125	
146	subject_step	119126	build_output_metadata	ok	0.023424217477440834	1049.390625	1049.390625	1049.390625	0.0	
147	subject_step	119126	create_cifti	ok	1.3964433521032333	1049.390625	926.15234375	1049.390625	0.0	
148	subject_step	119126	save_cifti	ok	2.1213189121335745	926.15234375	926.15234375	926.15234375	0.0	
149	subject	119126	subject_total	ok	13.91450254805386	918.7734375	926.15234375	3095.7734375	2177.0	
150	subject_step	119732	load_subject_data	ok	4.0681918151676655	926.15234375	813.9921875	2727.5	1801.34765625	
151	subject_step	119732	build_network_timecourse	ok	0.7603110987693071	813.9921875	834.83984375	834.83984375	20.84765625	
152	subject_step	119732	connectivity_fingerprint	ok	4.8069188464432955	834.83984375	927.90234375	1658.5	823.66015625	
153	subject_step	119732	build_output_metadata	ok	0.06362763047218323	927.90234375	927.90234375	927.90234375	0.0	
154	subject_step	119732	create_cifti	ok	1.362733332440257	927.90234375	806.9453125	927.90234375	0.0	
155	subject_step	119732	save_cifti	ok	2.0726618841290474	806.9453125	806.9453125	806.9453125	0.0	
156	subject	119732	subject_total	ok	13.433102138340473	926.15234375	806.9453125	2727.5	1801.34765625	
157	subject_step	119833	load_subject_data	ok	4.366373427212238	806.9453125	919.10546875	3081.65625	2274.7109375	
158	subject_step	119833	build_network_timecourse	ok	0.6981144789606333	919.10546875	951.81640625	951.81640625	32.7109375	
159	subject_step	119833	connectivity_fingerprint	ok	5.155997335910797	951.81640625	1048.5859375	1801.6484375	849.83203125	
160	subject_step	119833	build_output_metadata	ok	0.022471440955996513	1048.5859375	1048.5859375	1048.5859375	0.0	
161	subject_step	119833	create_cifti	ok	1.4324044939130545	1048.5859375	924.75390625	1048.5859375	0.0	
162	subject_step	119833	save_cifti	ok	2.1514154970645905	924.75390625	924.75390625	924.75390625	0.0	
163	subject	119833	subject_total	ok	14.093055507168174	806.9453125	924.75390625	3081.65625	2274.7109375	
164	subject_step	120111	load_subject_data	ok	4.147598311305046	924.75390625	924.75390625	3093.76171875	2169.0078125	
