	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
50	WMFS	ses-01	sub-10	MNISymC3	CondHalf	sub-10	0.9972418341247925	0.07260518220730351	0.06978506660404162	66	66
51	WMFS	ses-02	sub-10	MNISymC3	CondHalf	sub-10	0.9999999999999999	0.13095499898017723	0.13095499898017723	66	66
52	WMFS	ses-01	sub-11	MNISymC3	CondHalf	sub-11	0.9901439727584532	0.11659954047286362	0.10435102756856968	72	72
53	WMFS	ses-02	sub-11	MNISymC3	CondHalf	sub-11	1.0	0.15030114598267097	0.15030114598267105	72	72
54	WMFS	ses-01	sub-12	MNISymC3	CondHalf	sub-12	0.9950211671837464	0.11182972627234944	0.10892006675272668	63	63
55	WMFS	ses-02	sub-12	MNISymC3	CondHalf	sub-12	1.0	0.13241452484416388	0.1324145248441638	67	67
56	WMFS	ses-01	sub-13	MNISymC3	CondHalf	sub-13	0.9991715275529383	0.08784530433915227	0.08646598781090489	66	66
57	WMFS	ses-02	sub-13	MNISymC3	CondHalf	sub-13	1.0	0.10961709809052206	0.10961709809052206	66	66
58	WMFS	ses-01	sub-14	MNISymC3	CondHalf	sub-14	0.995597065184851	0.09389016193788986	0.08829192827651909	80	80
59	WMFS	ses-02	sub-14	MNISymC3	CondHalf	sub-14	0.9999999999999999	0.15571788478851845	0.15571788478851864	86	86
60	WMFS	ses-01	sub-15	MNISymC3	CondHalf	sub-15	0.9999999999999999	0.12718587617189805	0.12718587617189792	139	139
61	WMFS	ses-02	sub-15	MNISymC3	CondHalf	sub-15	1.0	0.17672742921156684	0.17672742921156678	140	140
62	WMFS	ses-01	sub-16	MNISymC3	CondHalf	sub-16	0.9741966291428391	0.0959454341286212	0.08044468794988413	85	85
63	WMFS	ses-02	sub-16	MNISymC3	CondHalf	sub-16	1.0	0.09991713470119995	0.09991713470120006	86	86
