subj,group map,noise_floor,dataOnly_run_01,dataOnly_run_02,dataOnly_run_03,dataOnly_run_04,dataOnly_run_05,dataOnly_run_06,dataOnly_run_07,dataOnly_run_08,dataOnly_run_09,dataOnly_run_10,dataOnly_run_11,dataOnly_run_12,dataOnly_run_13,dataOnly_run_14,dataOnly_run_15,dataOnly_run_16,data+prior_run_01,data+prior_run_02,data+prior_run_03,data+prior_run_04,data+prior_run_05,data+prior_run_06,data+prior_run_07,data+prior_run_08,data+prior_run_09,data+prior_run_10,data+prior_run_11,data+prior_run_12,data+prior_run_13,data+prior_run_14,data+prior_run_15,data+prior_run_16
sub_01,0.2095717341575705,0.164670997911728,0.2185379726539442,0.2144556141437332,0.2134178787982833,0.2096975807427515,0.2057086655782278,0.2039511351484607,0.2016779015131977,0.2017143695322389,0.2005978811978941,0.2005766522143176,0.2003488024717251,0.1991446972211779,0.1980025427547932,0.1968622537270447,0.1965486248753813,0.1953107942584195,0.198318755657715,0.1956974005161369,0.1952991801412471,0.193802648294608,0.1919009820131486,0.1908570035787427,0.1899541892424119,0.190117132179605,0.1895370110943653,0.1895995822429072,0.1892756610380069,0.188697164035971,0.1884112845141216,0.1877521859276133,0.1878036743551377,0.1874632211774776
sub_02,0.3339580276988774,0.279353242954199,0.3529743161845438,0.3400257668705467,0.3284971304689631,0.3244948622916407,0.3220252660105149,0.3203682869956533,0.3158968022433372,0.3148732618094965,0.3125504173314634,0.310799948395785,0.3096504993756989,0.3095404762137276,0.3091666299295781,0.3085864825825903,0.308222385354527,0.3078305332336261,0.3211575544332712,0.3145532272081661,0.3100264845719475,0.3082168334937664,0.306958114613278,0.3057190651877572,0.303752415732385,0.3036365050364813,0.3027356522145457,0.301760353044997,0.3014052402778223,0.3013862407824821,0.3013440052096593,0.3010463305018035,0.3010928147490109,0.3011041668683274
sub_03,0.3757170478958597,0.3274744924871991,0.394460212675321,0.3894947251130211,0.3877449597710056,0.3883708908667576,0.3875206842397096,0.3891424871458877,0.387431707441521,0.3860626370700107,0.3842709171975039,0.3829353740896946,0.383595048598673,0.3843858610263661,0.3842499412854008,0.3841736271186588,0.3829829432218347,0.382042043322661,0.374493483334341,0.3711913275545371,0.3698041425659513,0.370549220326047,0.3702447837267629,0.3720321158944165,0.3716903697666205,0.370819606745053,0.3697180813663735,0.3689049133627802,0.3697799949634107,0.3708758193548258,0.3712133507765712,0.3716159841302489,0.3706024078604151,0.3702147381924482
sub_04,0.2919151543736444,0.199048020005404,0.2943069393491898,0.2647373488546675,0.2561358682037229,0.2491050674151368,0.2420095594465972,0.2379099061002709,0.2333885776841766,0.2311586153845577,0.2301565235364192,0.2304003548637033,0.2295094308365396,0.2283627578212606,0.2269850931379274,0.2260634792116497,0.2247604508822278,0.224173265011683,0.2465260155002523,0.2350103119730025,0.2314249821054476,0.2291716496205699,0.226617426475553,0.2249642817832431,0.2230006492927714,0.2219785651696429,0.2220567505335462,0.2227512906005582,0.2225279250277958,0.2221446465337037,0.2215009126218634,0.2211356180357129,0.2205225816250999,0.2203281256651535
sub_05,0.2480345702531839,0.1991937572783841,0.2637190151178282,0.2528540088253698,0.251148271039879,0.252714059707613,0.2629217327934492,0.2513378656326178,0.2493849650295235,0.249818622970349,0.2472560206566762,0.2432146556779976,0.2418864662735029,0.2415773144407366,0.2419510329316237,0.243177166284971,0.2430391378105371,0.2428186669600161,0.2332454252091641,0.2298706365205553,0.228681858811181,0.2283776809960762,0.2310206577852054,0.2271924092470669,0.2261918545813987,0.2264957924490409,0.2261233206162709,0.2243714781913103,0.2237377765070343,0.2237642624853889,0.2241235254251808,0.224821000193937,0.2248422588521133,0.2247110927191668
sub_06,0.2713914275886757,0.1990422753781578,0.2917147440492306,0.2754312041270598,0.2679366063135198,0.2607037314964781,0.2604831767346708,0.2546313900989885,0.2514085381885856,0.2482840644689646,0.24596252135047,0.2465961591199916,0.2454392569160162,0.2433620105694377,0.2423018759969761,0.2408682011566397,0.2407677770338731,0.2404224070361044,0.2544406359366449,0.2442840169582549,0.2407642620429592,0.2376931959558269,0.2376427125600201,0.2361587228996297,0.2351478505573825,0.2331871684842293,0.2322910655909854,0.2328601953116357,0.2322387243820048,0.2314475326676073,0.2311939706890485,0.2308159000100838,0.2308495417255884,0.2309169254963536
sub_07,0.2112625629215628,0.1639184990363457,0.2302242387779941,0.2244545260619092,0.2207590451284342,0.211745691153016,0.2069713330668157,0.2045038682751876,0.2017220790323582,0.1995530747697972,0.1970858985266621,0.1964453750600359,0.195506206202629,0.1943580560870889,0.1933498311993613,0.192954877498832,0.1920401405051612,0.1914252588863124,0.1957742032435621,0.1944265747960374,0.1946261290176245,0.1913186450750469,0.1902744509079037,0.1891195107349654,0.1882974815392395,0.1873291172016966,0.1863433309075506,0.1862991558684264,0.1861389998291299,0.1858345944934065,0.1854513236735044,0.185732350539564,0.1851767435327637,0.1848444065166967
sub_08,0.3258305067841736,0.2547440685059465,0.3267356783635575,0.3223441865623286,0.3171842553415922,0.3101075953073313,0.3058683232160804,0.3029462174800913,0.3007075514451561,0.2986115409489926,0.296098852494505,0.2946614276080279,0.2934352700285182,0.2922043779072446,0.2918386430370209,0.2925309223769331,0.2945684722292982,0.293575613945663,0.2949961045028436,0.2942889492778066,0.2932596661570872,0.2893694886312835,0.2874265217321978,0.2858028750813453,0.2842661107915897,0.2822433723965424,0.2811409445674945,0.2806456213649137,0.2799911269778976,0.2794483524750389,0.2791777041495464,0.2793907585544508,0.2803897006565418,0.2799886103431441
sub_09,0.3008809450944665,0.2394304109970976,0.3374487379692514,0.3344429874434116,0.3266907514766177,0.320275304344985,0.3187182201042027,0.3161684454129706,0.3142942221599391,0.3143267055197647,0.3135998319487492,0.3110847748860043,0.3110854917099143,0.3124818323673598,0.3121458096002228,0.3124284375721562,0.3123070163995823,0.3116439547057662,0.3032006905575401,0.3027724003754795,0.2995994978669748,0.2966141856302217,0.2963918589858193,0.2940579773724762,0.2925368018164448,0.2935734936871107,0.2941629207924222,0.2934160429735714,0.2934463294043338,0.2944825236308762,0.2946388280698954,0.294919382824126,0.2951527498100631,0.2954123650157257
sub_10,0.2235138910456832,0.1746209695873517,0.248147755878632,0.237596778045019,0.2282711038608312,0.2242156022071668,0.221913240277096,0.2200617844297013,0.2168795251343951,0.2161203281038392,0.213759729567336,0.2115303787581618,0.2097201967144183,0.2090526163703006,0.2077751129200144,0.2061686832275365,0.2055331817436907,0.2045508203172119,0.2168249975886085,0.2110987965746066,0.2058072573709493,0.2045950030638992,0.2042199518286404,0.2030883074985381,0.2016144782460048,0.2009044464196278,0.2001080978556846,0.1990506130148369,0.1978777865131196,0.197724508779463,0.197390940278722,0.196371326187832,0.1961767889270817,0.1957980656840894
